match_id,batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five,runs_x
753,Australia,New Zealand,Sydney,62,66,7,6.888888888888889,24.0,150
384,Pakistan,Bangladesh,Dubai,29,80,7,4.35,24.0,135
1018,South Africa,New Zealand,Chittagong,42,80,7,6.3,32.0,170
697,Sri Lanka,England,Southampton,68,77,10,9.488372093023257,53.0,163
1170,Australia,Sri Lanka,Pallekele,57,91,9,11.793103448275861,57.0,263
1038,Sri Lanka,Bangladesh,Chittagong,68,76,8,9.272727272727273,50.0,168
751,Australia,South Africa,Melbourne,118,49,8,9.971830985915492,44.0,182
1020,West Indies,Bangladesh,Mirpur,34,87,10,6.181818181818182,24.0,171
818,West Indies,India,Barbados,88,45,9,7.04,47.0,169
374,Bangladesh,Sri Lanka,Abu Dhabi,54,59,5,5.311475409836065,36.0,139
1043,South Africa,West Indies,Johannesburg,213,11,6,11.724770642201834,56.0,231
60,Pakistan,West Indies,Lauderhill,109,44,8,8.605263157894736,45.0,178
1039,Bangladesh,Sri Lanka,Chittagong,113,9,2,6.108108108108108,41.0,120
534,New Zealand,South Africa,Ahmedabad,166,3,3,8.512820512820513,27.0,175
1088,Australia,India,Sydney,46,91,9,9.517241379310345,45.0,197
845,England,Pakistan,Dubai,91,37,9,6.578313253012048,36.0,148
903,New Zealand,England,Pallekele,40,83,8,6.486486486486487,33.0,148
998,New Zealand,West Indies,Auckland,135,29,5,8.901098901098901,61.0,189
881,West Indies,England,London,31,75,8,4.133333333333334,17.0,113
485,Sri Lanka,England,Kandy,128,45,7,10.24,49.0,189
548,England,Sri Lanka,Kandy,36,84,8,6.0,32.0,146
704,South Africa,India,Johannesburg,62,54,6,5.636363636363637,31.0,126
866,South Africa,Australia,Cape Town,35,84,8,5.833333333333333,33.0,146
812,Pakistan,England,Barbados,39,88,9,7.3125,32.0,147
1002,New Zealand,Bangladesh,Mirpur,136,36,8,9.714285714285714,53.0,204
273,New Zealand,Australia,Mount Maunganui,136,24,6,8.5,35.0,181
737,New Zealand,South Africa,Johannesburg,49,77,7,6.837209302325581,35.0,129
1100,New Zealand,Pakistan,Wellington,60,82,9,9.473684210526315,43.0,196
559,South Africa,New Zealand,Kolkata,109,28,5,7.108695652173913,31.0,169
740,England,New Zealand,Christchurch,69,81,9,10.615384615384615,64.0,193
769,England,South Africa,Nottingham,111,3,2,5.6923076923076925,23.0,111
727,Sri Lanka,Australia,Cape Town,91,13,2,5.102803738317757,26.0,101
382,Sri Lanka,Pakistan,Abu Dhabi,82,42,4,6.3076923076923075,20.0,133
858,Pakistan,New Zealand,Auckland,100,25,3,6.315789473684211,25.0,143
987,South Africa,Pakistan,Dubai,115,30,8,7.666666666666667,48.0,150
725,New Zealand,South Africa,Durban,52,82,10,8.210526315789474,46.0,153
718,New Zealand,India,Johannesburg,56,79,9,8.195121951219512,41.0,190
720,South Africa,England,Cape Town,81,53,7,7.253731343283582,38.0,154
920,West Indies,Australia,Barbados,52,88,10,9.75,47.0,160
553,West Indies,South Africa,Ahmedabad,47,90,6,9.4,47.0,176
770,Sri Lanka,Pakistan,London,86,60,9,8.6,27.0,150
853,New Zealand,Sri Lanka,Lauderhill,77,23,2,4.762886597938144,19.0,81
385,India,Sri Lanka,Dubai,180,11,5,9.908256880733944,43.0,202
910,India,South Africa,Colombo,69,58,6,6.67741935483871,33.0,152
159,Pakistan,Bangladesh,Lahore,160,15,4,9.142857142857142,37.0,201
1122,New Zealand,India,Nagpur,67,47,6,5.506849315068493,28.0,126
758,Australia,West Indies,London,65,59,7,6.39344262295082,33.0,169
913,West Indies,Sri Lanka,Colombo,49,47,8,4.027397260273973,30.0,137
866,South Africa,Australia,Cape Town,107,21,7,6.484848484848484,39.0,146
908,Sri Lanka,England,Pallekele,93,45,7,7.44,37.0,169
232,India,New Zealand,Nagpur,150,46,6,12.162162162162161,60.0,238
